DATE,TOTAL BILLS,INVOICE RANGE,TOTAL TAXABLE AMOUNT,TOTAL TAX AMOUNT,Taxable Amount 0%,Taxable Amount 5%,Taxable Amount 12%,Taxable Amount 18%,TOTAL AMOUNT,CASH,CARD,OTHER MODES,AMOUNT RETURN,AMOUNT RETURN TO CREDIT,TOTAL ITEMS SOLD,TOTAL QTY,RETURNED ITEMS COUNT,RETURNED QTY
18-Apr-20,10,"A/2021/118, A/2021/127",5089.57,365.43,110,3733.33,1089.29,266.95,5565,620,3645,1350,50,0,32,42,0,0
16-Apr-20,8,"A/2021/110, A/2021/117",1722.84,97.16,100,1638.1,0,84.75,1920,1790,980,0,850,0,15,15,0,0
15-Apr-20,10,"A/2021/100, A/2021/109",8068,472,40,7309.52,500,258.47,8580,3780,2470,2550,220,0,30,44,0,0
14-Apr-20,7,"A/2021/093, A/2021/099",2582.02,152.98,1910,2357.14,89.29,135.59,4645,1360,2070,1615,400,0,39,189,0,0
13-Apr-20,2,"A/2021/091, A/2021/092",342.86,17.14,200,342.86,0,0,560,500,260,0,200,0,4,5,0,0
12-Apr-20,8,"A/2021/083, A/2021/090",5172.2,612.8,310,2447.62,0,2724.58,6095,2650,5000,205,1760,0,24,63,0,0
11-Apr-20,7,"A/2021/076, A/2021/082",6257.3,397.7,400,5604.76,0,652.54,7055,1110,3775,2320,150,0,30,34,0,0
10-Apr-20,8,"A/2021/069, A/2021/075R",6323.17,361.83,383,5928.57,93.75,300.85,7068,6020,1335,0,287,0,28,46,1,1
09-Apr-20,7,"A/2021/062, A/2021/068",5147.9,392.1,395,3880.95,500,766.95,5935,600,4205,1470,340,0,27,53,0,0
08-Apr-20,11,"A/2021/051, A/2021/061",6316.53,584.67,1352.9,4122.86,272.32,1921.36,8254,1520,3755,3280,301,0,40,80,0,0
07-Apr-20,7,"A/2021/044, A/2021/050",7003.69,471.31,780,5800,589.29,614.41,8255,2015,3400,3040,200,0,33,55,0,0
06-Apr-20,6,"A/2021/038, A/2021/043",1695.04,124.96,0,1385.71,0,309.32,1820,1100,935,145,360,0,15,18,0,0
05-Apr-20,5,"A/2021/033, A/2021/037",3852.06,282.94,174,3157.14,0,694.92,4309,2610,1799,0,100,0,16,25,0,0
04-Apr-20,14,"A/2021/019, A/2021/032",10531.78,713.22,1110,8857.14,517.86,1156.78,12355,50,11185,1130,10,0,46,73,0,0
03-Apr-20,6,"A/2021/013, A/2021/018",4363.69,231.31,170,4176.19,187.5,0,4765,1170,3745,0,150,0,19,22,0,0
02-Apr-20,6,"A/2021/007, A/2021/012",2721.23,178.77,180,2161.9,500,59.32,3080,2450,970,70,410,0,15,22,0,0
01-Apr-20,6,"A/2021/001, A/2021/006",2018.08,146.92,900,1433.33,500,84.75,3065,1820,1670,0,425,0,13,29,0,0
31-Mar-20,11,"A/1920/14580, A/1920/14590",9900.56,729.44,730,7866.67,500,1533.9,11360,3620,2250,6410,920,0,34,83,0,0
30-Mar-20,16,"A/1920/14564, A/1920/14579",6534.71,530.29,625,4738.1,500,1296.61,7690,3920,3835,515,580,0,46,67,0,0
29-Mar-20,10,"A/1920/14555, A/1920/14563",6038.66,371.34,380,5504.76,0,533.9,6790,-1850,7080,1560,0,0,34,44,3,5
28-Mar-20,12,"A/1920/14543, A/1920/14554",12791.3,958.7,1595,9652.38,1482.14,1656.78,15345,2700,6635,6120,110,0,56,99,0,0
26-Mar-20,8,"A/1920/14535, A/1920/14542",14029.68,1035.32,535,9623.81,3982.14,423.73,15600,10010,5840,0,250,0,51,99,0,0
24-Mar-20,12,"A/1920/14523, A/1920/14534",16825.81,1049.19,2635,14723.81,1089.29,1012.71,20510,11215,5070,4870,645,0,80,136,0,0
23-Mar-20,23,"A/1920/14501, A/1920/14522",39252.71,2669.29,2406.5,32691.9,2437.5,4123.31,44329,20715,25564,595,2545,0,127,269,0,0
