NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Moscups,Herbal Strategi,1 kg,Miscellaneous,Miscellaneous,5,1,1,80.22,84.23,85,84.23,60
Flax Seed Powder 100g,Prakruthivanam,1 pkt,Masala & Spices,Powder,5,2,1,56.63,59.46,30,29.73,21
Andu Korra Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,1,1,94.38,99.1,100,99.1,80
Dates 250g,Prakruthivanam,1 pc,Dry Fruit,Dry Fruit,12,1,1,115.03,128.83,130,128.83,104
Ragulu Flour 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,2,1,75.5,79.28,40,39.64,31.5
Samalu Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Millet Ravva,5,1,1,94.38,99.1,100,99.1,77
Mosquito Room Spray 100ml,Herbal Strategi,1 ltr,Household Care,Household Cleaner,18,30,25,5593.22,6600,220,220,160
Lemon Pickle 300g,Prakruthivanam,1 grm,Miscellaneous,Miscellaneous,12,108,106,17357.14,19440,180,180,135
Pure&Sure Organic Mustard Oil 500ml,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,27,22,6505.71,6831,253,253,189.75
Bajra 1Kg,Prakruthivanam,1 pc,Millet,Millet,5,102,89,5828.57,6120,60,60,45
Shampoo 200ml,Prakruthivanam,1 pc,Personal Care,Shampoo,18,1,1,114.08,134.62,140,134.62,97.94
Go Desi Imlipop 5rs,GO DESI,1 grm,Snacks,Home Made,5,4,1,18.32,19.23,5,4.81,4
Cow Milk & Sandal Wood Soap100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,1,1,81.49,96.15,100,96.15,71
Native Circle Manjishta Bath Soap,NATIVE CIRCLE,1 kg,Miscellaneous,Miscellaneous,18,184,142,23389.83,27600,150,150,102.6
Native Circle Red Kokum Syrup,NATIVE CIRCLE,1 grm,Miscellaneous,Miscellaneous,5,16,16,4571.43,4800,300,300,205.2
Ragi Papad-200g,Prakruthivanam,1 kg,Custom,Custom,5,132,122,11942.86,12540,95,95,81
Pure&Sure Organic Chocolate Blueberry Almond 30g,Pure&Sure,1 pc,Miscellaneous,Miscellaneous,18,67,54,10220.34,12060,180,180,134.99
Andu Korra Flour 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,84,72,7200,7560,90,90,72
