NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Channa White 500g,Prakruthivanam,1 pkt,Grocery & Staples,Dals With Husk,5,1,1,68.57,72,80,72,53.55
Pancha Gavya Hair Oil 100ml,Akshaya,1 kg,Miscellaneous,Miscellaneous,18,1,1,99.15,117,130,117,105.36
Jeera 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,42.86,45,50,45,38
Dantha Manjan Tooth Powder 50g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,12,1,1,40.18,45,50,45,44.8
Pure&Sure Organic Masoor Dal 500g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,5,43,38,3890.48,4085,95,95,71.24
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,1,1,109.16,109.16,110,109.16,85
Turmaric Powder (High Curcumin) 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,103.96,109.16,110,109.16,82.01
 Rock Salt 1kg,Arogya Rahasya,1 kg,Masala & Spices,Powder,0,2,1,119.08,119.08,60,59.54,45
Palm Jaggery Small Cubes 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,0,1,1,99.24,99.24,100,99.24,85
Floor Cleaner 500ml,Herbal Strategi,1 ltr,ALL PURPOSE CLEANERS,Floor Cleaners,18,1,1,79.89,94.27,95,94.27,76
Native Circle Sugandhi Syrup,NATIVE CIRCLE,1 grm,Miscellaneous,Miscellaneous,5,2,2,542.86,570,300,285,235.2
Dates 500g,Prakruthivanam,1 pc,Dry Fruit,Dry Fruit,12,4,3,814.29,912,240,228,192
Herbal Ant Repellent 100ML,Herbal Strategi,1 ltr,Household,Utensils & crockery,18,2,2,338.14,399,210,199.5,152
Organic Ragi Porridge 200g,Pure&Sure,1 grm,Miscellaneous,Miscellaneous,5,1,1,63.33,66.5,70,66.5,52.5
Herbal Cockroach Repellent 100ml,Herbal Strategi,1 ltr,Household,Utensils & crockery,18,2,2,322.03,380,200,190,160
Pure&Sure Organic Ragi Dosa Mix 250g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,18,1,1,54.75,64.6,68,64.6,51
Pure&Sure Organic Rava Idli Mix 250g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,18,1,1,70.85,83.6,88,83.6,66
Timbaktu Organic Korra Upma Mix 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,5,1,1,58.81,61.75,65,61.75,48.75
Timbaktu Organic Arika Upma Mix 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,5,1,1,58.81,61.75,65,61.75,48.75
Dhaniyalu Powder 100g,Prakruthivanam,1 pkt,Miscellaneous,Miscellaneous,5,60,48,1714.29,1800,30,30,23.1
Sweet Sajja Vada 100g,Prakruthivanam,1 pc,Snacks,Home Made,5,2,1,184.93,194.17,100,97.09,70.35
Sprouted Ragi Powder 1kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,110.96,116.5,120,116.5,84
Jonna Laddu150g,Prakruthivanam,1 pc,Snacks,Home Made,5,2,1,147.94,155.34,80,77.67,53.55
Safflower Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,1,1,453.07,475.73,490,475.73,300
Rice Nippattu 100g,Prakruthivanam,1 grm,Snacks,Home Made,5,1,1,55.48,58.25,60,58.25,42
Neem Oil 200ml,Prakruthivanam,1 pc,Personal Care,Hair Oil,5,1,1,142.86,150,160,150,136.5
Pure&Sure Sun Flower Oil 1ltr,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,2,1,635.7,667.48,335,333.74,251.24
Badam (Almonds) 500g,Prakruthivanam,1 pkt,Nuts,NUTS,12,1,1,533.7,597.74,600,597.74,450
Jonna Muruku 100g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,56.93,59.77,60,59.77,42
Desi Cow Ghee 400g,Arogya Rahasya,1 grm,Dairy Products,Ghee,12,1,1,473.21,530,560,530,504
Red Rice Poha 500g,Prakruthivanam,1 pkt,Custom,Custom,0,1,1,59.65,59.65,60,59.65,45
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,1,1,94.68,99.42,100,99.42,73.5
Samalu (Little) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,151.49,159.06,160,159.06,123
Black Gram Split 500g,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1,1,80.48,84.5,85,84.5,62
Pacha Jonnalu 1kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,94.68,99.42,100,99.42,80
Ragulu 1kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,56.81,59.65,60,59.65,46.2
Unpolished Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,5,1,402.39,422.51,85,84.5,70
Korralu (Foxtail) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,113.62,119.3,120,119.3,92.4
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,1,1,109.36,109.36,110,109.36,85
Pure&Sure Cardamon Whole 50g,Pure&Sure,1 pc,Miscellaneous,Miscellaneous,5,1,1,359.79,377.78,380,377.78,284.99
Cloves 50g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,104.15,109.36,110,109.36,88.2
Dry Coconut 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,76.13,79.94,80,79.94,64
Chivda 100g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,57.1,59.95,60,59.95,42
Black Gram Without Husk 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,2,1,342.59,359.72,180,179.86,144
Pure&Sure Cardamon Whole 50g,Pure&Sure,1 pc,Miscellaneous,Miscellaneous,5,1,1,361.62,379.7,380,379.7,284.99
Cloves 50g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,104.68,109.91,110,109.91,88.2
Groundnuts 500g,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,1,1,104.68,109.91,110,109.91,88
MultiGrain Atta 1Kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,104.68,109.91,110,109.91,85.05
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,2,1,219.83,219.83,110,109.91,85
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,1,1,95.16,99.92,100,99.92,73.5
Jeera 250g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,114.2,119.91,120,119.91,90.3
Pure&Sure Organic Cinnamon Barak 50g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,5,1,1,49.48,51.96,52,51.96,39
Unpolished Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,10,1,808.89,849.33,85,84.93,70
Korralu (Foxtail) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,113.7,119.39,120,119.39,92.4
Pepper 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,2,1,227.41,238.78,120,119.39,92
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,1,1,109.44,109.44,110,109.44,85
Ragulu Flour 1kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,66.33,69.64,70,69.64,53.55
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,3,1,284.26,298.47,100,99.49,73.5
Desi Cow Ghee 400g,Arogya Rahasya,1 grm,Dairy Products,Ghee,12,2,1,994.9,1114.29,560,557.14,504
Clay Water Bottle Small,Clay Pots,1 ltr,Household,Cookware,0,4,4,629,629,185,157.25,95
Channa White 500g,Prakruthivanam,1 pkt,Grocery & Staples,Dals With Husk,5,1,1,74.82,78.56,80,78.56,53.55
Kandi Powder 100g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,2,1,56.12,58.92,30,29.46,21
Fried Channa Dal 500g,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1,1,84.17,88.38,90,88.38,69
Sprouted Ragi Powder 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,65.47,68.74,70,68.74,49.35
Pappulapodi (Idly Karam) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,65.47,68.74,70,68.74,49
Minapa Laddu (Sunnundalu) 200g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,121.59,127.66,130,127.66,91
GreenGram Whole 500g,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,2,1,149.64,157.13,80,78.56,61.01
Groundnut Chikki 250g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,93.53,98.2,100,98.2,70.35
Timbaktu Organic Chutney Powder 250g,Timbaktu ,1 kg,Miscellaneous,Miscellaneous,5,1,1,70.15,73.65,75,73.65,56.25
Pure&Sure Organic Kodbale 200g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,12,1,1,80.04,89.64,90,89.64,67.49
Chilli Powder 250g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,3,1,284.58,298.8,100,99.6,85
Honey Farm Collection 1kg ,Prakruthivanam,1 pc,Branded Foods,Honey,5,2,1,739.9,776.89,390,388.45,288.75
Chilli Powder 100g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,2,1,85.37,89.64,45,44.82,32.55
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,1,1,94.86,99.6,100,99.6,73.5
Red Chilli Pickle 500g,Prakruthivanam,1 btl,Miscellaneous,Miscellaneous,12,1,1,257.9,288.84,290,288.84,218
Groundnut Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,1,1,388.92,408.37,410,408.37,309
Gongura Pickle 300g,Prakruthivanam,1 grm,Miscellaneous,Miscellaneous,12,1,1,160.07,179.28,180,179.28,135
Chivda 100g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,56.92,59.76,60,59.76,42
Safflower Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,40,28,16380.95,17200,430,430,300
Jaggery 500g,Prakruthivanam,1 pc,Grocery & Staples,"Salt, Sugar & Jaggery",0,10,1,495,495,60,49.5,45
Ragulu Flour 1kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,5,1,288.1,302.5,70,60.5,53.55
Red Gram Split 500g,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,5,9,1,582.86,612,85,68,64
Coconut Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,4,2,1810.29,1900.8,540,475.2,430
Castor Oil 200ml,Prakruthivanam,1 pc,Personal Care,Hair Oil,5,5,1,275.24,289,70,57.8,52.5
Arikalu Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,2,1,183.62,192.8,105,96.4,79
Bajra Flour 500g,Prakruthivanam,1 pc,Grocery & Staples,Siri Dhanyalu Flour,5,2,1,55.05,57.8,35,28.9,26.25
Rasam Powder 100g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,2,1,86.48,90.8,55,45.4,37.8
Herbal Head Bath Powder 250g,Prakruthivanam,1 pc,Personal Care,Shampoo,12,2,1,147.14,164.8,100,82.4,71.68
Ragulu Flour 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,5,1,165.24,173.5,40,34.7,31.5
Shampoo 200ml,Prakruthivanam,1 pc,Personal Care,Shampoo,18,1,1,110.17,130,140,130,97.94
Ragulu 1kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,47.62,50,60,50,46.2
Black Pesalu 500g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,0,2,0,0,95,90,69.3
Clay Water Jug Big ,Clay Pots,1 ltr,Household,Cookware,0,17,16,3251.25,3251.25,225,191.25,85
Red Gram Split 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1,1,150.38,157.89,160,157.89,120
Groundnuts 500g,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,1,1,103.38,108.55,110,108.55,88
Jonna Flour 1kg,Prakruthivanam,1 kg,Grocery & Staples,Flours & Staples,5,1,1,56.39,59.21,60,59.21,45.05
Jonna Muruku 100g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,56.39,59.21,60,59.21,42
Chilli Powder 250g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,1,1,93.98,98.68,100,98.68,85
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,1,1,93.98,98.68,100,98.68,73.5
Honey Farm Collection 500g,Prakruthivanam,1 pc,Branded Foods,Honey,5,1,1,187.97,197.37,200,197.37,147
Andu Korralu (Browntop) 1kg,Prakruthivanam,1 kg,Custom,Custom,5,2,2,338.35,355.26,180,177.63,143.85
Fried Channa Dal 250g,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1,1,46.99,49.34,50,49.34,38
Groundnut Chikki 250g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,93.98,98.68,100,98.68,70.35
Minapa Laddu (Sunnundalu) 200g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,122.18,128.29,130,128.29,91
 Rock Salt 1kg,Arogya Rahasya,1 kg,Masala & Spices,Powder,0,1,1,59.21,59.21,60,59.21,45
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,1,1,108.55,108.55,110,108.55,85
Turmeric Powder 250g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,1,1,93.98,98.68,100,98.68,76
Bajra Ravva-500gms-pvs,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Millet Ravva,5,62,48,2657.14,2790,45,45,26
Amla Pickle 500g,Prakruthivanam,1 btl,Pickles & Chutneys,Pickle,12,67,66,16750,18760,280,280,200
Native Circle Activated Charcoal Facepack,NATIVE CIRCLE,1 grm,Miscellaneous,Miscellaneous,0,1,2,237.5,237.5,250,237.5,171
Panchagavya Soap - 100grm - Pvs,Prakruthivanam,1 pc,Personal Care,Soaps,18,72,6,5796.61,6840,100,95,70.8
Neem & Aloevera Soap - 100gms - Pvs,Prakruthivanam,1 pc,Personal Care,Soaps,18,6,5,434.75,513,90,85.5,62.54
Native Circle Neem Exfoliator Bath Soap,NATIVE CIRCLE,1 kg,Miscellaneous,Miscellaneous,18,7,1,845.34,997.5,150,142.5,117.6
Palapack Multhanimatti Soap 100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,1,1,64.41,76,80,76,64
MittiSe Neem & Lemon Soap 100g,MittiSe,1 kg,Miscellaneous,Miscellaneous,18,4,1,611.86,722,190,180.5,133
White Gingelly Seeds 500g,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,6,1,705.71,741,130,123.5,103.95
Clean Food Starter Pack,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,5,17,15,4241.9,4454,262,262,196.5
Pure&Sure Sun Flower Oil 1ltr,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,1,1,303.1,318.25,335,318.25,251.24
Clay Kadai Small,Clay Pots,1 pc,Household,Cookware,0,4,4,720,720,200,180,70
Chilli Powder 500g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,2,1,360.21,378.22,190,189.11,160
Gingelly Oil 1Lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,3,1,1478.77,1552.71,520,517.57,365
Chilli Powder 250g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,2,1,189.59,199.07,100,99.53,85
Gingelly Oil 500ml,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,107,104,29552.38,31030,290,290,243.6
Arikalu (kodo) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,150.38,157.89,160,157.89,120
Udarlu (Barnyard) 1kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,131.58,138.16,140,138.16,112.35
Korralu (Foxtail) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,112.78,118.42,120,118.42,92.4
Samalu (Little) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,150.38,157.89,160,157.89,123
Honey Farm Collection - 1kg - Pvs,Prakruthivanam,1 pc,Branded Foods,Honey,5,14,5,4680,4914,390,351,288.75
Chilli Powder 500g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,1,1,171.43,180,190,180,160
Black Gingelly Seeds 500g,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,4,4,342.86,360,120,90,95.55
Arikalu (kodo)  500g,Prakruthivanam,1 pkt,MILLETS,Miscellaneous,5,3,1,221,232.05,85,77.35,64
Black Rice 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,2,1,368,386.4,210,193.2,158
Korralu (Foxtail) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,5,2,468.57,492,120,98.4,92.4
Single Polished Rice 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,3,1,221.14,232.2,90,77.4,75
Chilli Powder 500g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,1,1,171.9,180.5,190,180.5,160
Castor Oil 200ml,Prakruthivanam,1 pc,Personal Care,Hair Oil,5,2,2,126.67,133,70,66.5,52.5
Safflower Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,1,1,389.05,408.5,430,408.5,300
Black Gingelly Seeds 1kg,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,2,1,323.81,340,220,170,175.35
Pure&Sure Organic Rava Idli Mix 250g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,18,19,17,1416.95,1672,88,88,66
Safflower Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,2,2,933.33,980,430,490,300
Dry Coconut 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,57.14,60,70,60,64
Single Polished Rice 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,3,1,236.57,248.4,90,82.8,75
Floor Cleaner 2lt,Herbal Strategi ,1 ltr,Household,Home Linen,18,12,11,3355.93,3960,330,330,264
Nature Dish Wash 2lt,Herbal Strategi,1 ltr,Household,Dishwash,18,1,1,419.49,495,540,495,396
Patnalu (Karum-Karum) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,47.62,50,60,50,45.15
Coconut Oil 5 lt,Prakruthivanam,1 btl,KIRANA,COLD PRESSED OILS,5,1,1,2333.33,2450,2450,2450,1995
Pure&Sure Palm Sugar 500g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,5,23,23,8542.86,8970,390,390,292.5
Fish Bigsize Black,Clay Pots,1 ltr,Miscellaneous,Miscellaneous,0,6,6,1500,1500,270,250,135
Organic Orange Jamm 210g,Pure&Sure,1 grm,Miscellaneous,Miscellaneous,12,5,5,1294.64,1450,290,290,199.32
Arogya Dish Wash Powder 500g,Arogya Rahasya,1 kg,Household,Dishwash,5,2,1,34.29,36,20,18,17
Clay Fry Pan,Clay Pots,1 ltr,Miscellaneous,Miscellaneous,0,3,2,945,945,350,315,135
Sprouted Ragi Powder 1kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,102.86,108,120,108,84
Dhaniyalu 250g,Prakruthivanam,1 pkt,Miscellaneous,Miscellaneous,5,154,131,5866.67,6160,40,40,31.5
Pure&Sure Organic Coffee Powder Smooth 200g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,5,19,19,3619.05,3800,200,200,149.99
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,1,1,94.45,99.17,100,99.17,73.5
Unpolished Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,1,1,80.28,84.3,85,84.3,70
Native Circle Lemon Ginger Syrup,NATIVE CIRCLE,1 grm,Miscellaneous,Miscellaneous,5,1,1,271.43,285,300,285,235.2
Chilli Powder 100g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,2,1,81.43,85.5,45,42.75,32.55
Arikalu Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,1,1,95,99.75,105,99.75,79
Pure&Sure Pasta Panna 200g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,12,2,2,118.75,133,70,66.5,52.49
Neem Leaves Powder 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,45.24,47.5,50,47.5,39
Pure&Sure Fennel Seeds 100g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,5,2,2,76,79.8,42,39.9,31.5
Eucalyptus Oil 50ml,Prakruthivanam,1 ltr,Miscellaneous,Miscellaneous,18,3,2,362.29,427.5,150,142.5,105
Bajra Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Millet Ravva,5,2,1,81.43,85.5,45,42.75,33.6
Coconut Oil 1lt Pvs,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,464,372,216533.33,227360,490,490,399
Dry Coconut 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,13,11,742.86,780,60,60,39.9
Gingely Seeds 500gms-pvs,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,230,205,26285.71,27600,120,120,95.55
Unpolished Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,2,1,152.38,160,85,80,70
Badam 250g,Dry Fruits,1 pkt,DRYFRUITS,DRYFRUITS,12,10,9,2678.57,3000,300,300,226
Mustard 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,47.36,49.72,50,49.72,34.65
Chilli Powder 500g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,1,1,179.95,188.95,190,188.95,160
Mustard 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,11,2,208.37,218.79,20,19.89,13.65
White Gingelly Seeds 250g,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,6,1,397.79,417.68,70,69.61,55.65
Palm Jaggery 250g,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",0,74,50,8140,8140,110,110,110
Clay Water Jug Big ,Clay Pots,1 ltr,Household,Cookware,0,1,1,190,190,225,190,85
Transport,Travels/courier,1 kg,Miscellaneous,Miscellaneous,0,1,1,40,40,1,40,2850
Aro Gomutra Ark 500ml,Arogya Rahasya,1 ltr,Miscellaneous,Miscellaneous,12,19,18,1357.14,1520,80,80,60
Pure&Sure Organic Kodbale 200g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,12,46,43,3285.71,3680,80,80,60
Bajra 1Kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,45.35,47.62,50,47.62,37.8
Samalu (Little) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,145.12,152.38,160,152.38,123
Pure&Sure Organic Peanut Masala 200g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,12,45,41,3816.96,4275,95,95,71.24
GreenGram Whole 500g,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,3,3,217.14,228,80,76,61.01
Wheat Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Ravva.,5,1,1,63.33,66.5,70,66.5,55.65
Pure&Sure Organic Aloo Bhujia 200g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,12,35,35,2968.75,3325,95,95,71.24
Pure&Sure Organic Mustard Oil 500ml,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,4,4,704.76,740,185,185,138.75
Pure&Sure Sun Flower Oil 1ltr,Pure & Sure,1 ltr,Miscellaneous,Miscellaneous,5,245,175,61833.33,64925,265,265,198.74
Pure&Sure Vangibath Mix 100g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,5,10,8,647.62,680,68,68,51
Coconut Oil 500ml,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,1,1,253.33,266,280,266,225
Red Chilli 250g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,3,2,244.29,256.5,90,85.5,76
Sama Flour - 500 Gms - Pvs,Prakruthivanam,1 pc,Millet,Millet Flour,5,85,79,6476.19,6800,80,80,0
Yellow Kismis 250g,Dry Fruits,1 pkt,DRYFRUITS,DRYFRUITS,5,7,6,606.67,637,91,91,62.5
Nature Dish Wash 2lt,Herbal Strategi,1 ltr,Household,Dishwash,18,4,2,1830.51,2160,495,540,396
Gingely Seed 1kg Pvs1,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,169,133,35409.52,37180,220,220,175.35
Jeera 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,43.29,45.45,50,45.45,38
Methi 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,17.32,18.18,20,18.18,14.7
Gingely Seed 1kg Pvs1,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,4,4,771.05,809.6,220,202.4,175.35
Red Gram Split 500g,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,5,4,1,297.9,312.8,85,78.2,64
Vetivert  Soap 100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,6,1,467.8,552,100,92,70.8
GreenGram Split 500g,Prakruthivanam,1 pc,Grocery & Staples,Dals With Husk,5,2,1,157.71,165.6,90,82.8,72.45
Groundnut Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,5,3,1796.19,1886,410,377.2,309
Sabja Seeds 100g,Prakruthivanam,1 grm,Masala & Spices,Spices,5,3,1,157.71,165.6,60,55.2,42
Phenyl 1lt,Prakruthivanam,1 pc,Household,Home Linen,18,1,1,50.68,59.8,65,59.8,47.2
Gingelly Oil 500ml,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,1,1,236.57,248.4,270,248.4,190
Safflower Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,2,1,753.52,791.2,430,395.6,300
Rice Papad-200g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,18,4,2,265.08,312.8,85,78.2,72
Pure&Sure Mustard Oil 1ltr,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,1,1,297.51,312.38,320,312.38,240
Jonnalu 1kg,Prakruthivanam,1 pc,Seeds And Grains,Grains,5,1,1,46.49,48.81,50,48.81,39.9
Bajra 1Kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,46.49,48.81,50,48.81,37.8
Honey Farm Collection 500g,Prakruthivanam,1 pc,Branded Foods,Honey,5,4,2,1485.71,1560,200,390,147
Pure&Sure Organic Tea Powder 250g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,5,37,36,6977.14,7326,198,198,148.49
FREE SKU 28,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,12,21,17,4500,5040,210,240,0
Rice Papad-200g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,18,1,1,71.32,84.16,85,84.16,72
Sunni Pindi 200g,Prakruthivanam,1 pc,Personal Care,Skin Care,12,1,1,88.4,99.01,100,99.01,70.56
Sprouted Ragi Powder 1kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,113.15,118.81,120,118.81,84
Groundnut Chikki 250g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,94.3,99.01,100,99.01,70.35
Pacha Jonnalu 1kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,94.3,99.01,100,99.01,80
Morga Agarbathis,Gou Ganga,1 pc,Miscellaneous,Miscellaneous,5,6,6,342.86,360,60,60,55
